Funnel Name,Step Number,Event Name,Event Description,Event Type,Drop-off Risk,Priority Level
PROFILE & SETTINGS EXTENDED,Drop-off,biometrics_setup_failed,Biometrics setup failed,Error,Medium,Medium
PROFILE & SETTINGS EXTENDED,Drop-off,pin_setup_failed,PIN setup failed,Error,High,Medium
PROFILE & SETTINGS EXTENDED,Drop-off,pin_verification_failed,PIN verification failed,Error,High,Medium
PERSONAL ASSETS EXTENDED,1,personal_assets_screen_viewed,Personal assets screen viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,2,asset_type_selected,Asset type selected,Action,Medium,Medium
PERSONAL ASSETS EXTENDED,3,crypto_assets_viewed,Crypto assets viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,4,crypto_holdings_added,Crypto holdings added,Success,Low,Medium
PERSONAL ASSETS EXTENDED,5,real_estate_viewed,Real estate viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,6,real_estate_property_added,Property added,Success,Low,Medium
PERSONAL ASSETS EXTENDED,7,land_assets_viewed,Land assets viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,8,precious_metals_viewed,Precious metals viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,9,precious_metals_holdings_added,Metals holdings added,Success,Low,Medium
PERSONAL ASSETS EXTENDED,10,money_lending_viewed,Money lending viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,11,money_lending_records_added,Lending records added,Success,Low,Medium
PERSONAL ASSETS EXTENDED,12,other_assets_viewed,Other assets viewed,Screen View,Low,Medium
PERSONAL ASSETS EXTENDED,13,other_assets_added,Other assets added,Success,Low,Medium
PERSONAL ASSETS EXTENDED,14,personal_assets_completed,Personal assets session completed,Completion,Low,Medium
PERSONAL ASSETS EXTENDED,Drop-off,personal_assets_abandoned,User abandons personal assets,Drop-off,Medium,Medium
PERSONAL ASSETS EXTENDED,Drop-off,asset_type_not_selected,Asset type not selected,Drop-off,Medium,Medium
PERSONAL ASSETS EXTENDED,Drop-off,asset_addition_failed,Asset addition failed,Error,Medium,Medium
